site,format
and,YYYY
and,YYYY-MM-DD
and,julian
and,mm
and,month
and,number
arc,%j
arc,DD
arc,DD-MON-YYYY
arc,DD-mon-YY
arc,DD-mon-YYYY
arc,HH24:Mi
arc,HH24:Mi:SS
arc,MM
arc,MM/DD/YY
arc,MM/DD/YYYY
arc,YYYY
arc,YYYY-%j
arc,YYYY-MM-DD
arc,dd
arc,dd-mmm-yyyy
arc,dd-mon-yy
arc,dd-mon-yyyy
arc,ddd
arc,ddd.dd
arc,ddmonyyyy
arc,dmm/dd/yy
arc,hh24:mi
arc,hh24:mi:SS
arc,hh24:mi:ss
arc,hh24:mm
arc,hh24mi
arc,hh24mm
arc,hhmm
arc,mm
arc,mm/dd/yyyy
arc,mmm
arc,mmm-dd-yyyy
arc,mmm-yyyy
arc,yyyy
bes,MM-DD-YYYY
bes,YYYY
bes,hh:mm
bnz,HH:MM
bnz,MM-DD-YYYY
bnz,YYYY-MM-DD
bnz,dd/mm/yy
bnz,dd/mm/yyyy
bnz,ddmmyy
bnz,hh:mm
bnz,hh:mm:ss
bnz,m/d/yyyy
bnz,mm-dd-yyyy
bnz,mm/dd
bnz,mm/dd/yy
bnz,mm/dd/yyyy
bnz,mmddyy
bnz,yymmdd
bnz,yyyy-mm-dd
bnz,yyyy/mm/dd
bnz,yyyymmdd
cap,"Month,"
cap,DD-Month-YY
cap,DD-Mounth-YY
cap,DD/MM/YYYY
cap,DDD
cap,HH:MM
cap,HH:MM:SS
cap,HH:MM:SS:
cap,MM
cap,MM/DD/YYYY
cap,YY-MM
cap,YYYY
cap,YYYY-MM-DD
cap,hh:mm
cap,hh:mm:ss
cap,year
cce,YYYY-MM-DD
cce,hh:mm:ss
cdr,(M/D/YYYY)
cdr,(dd-mm-yy)
cdr,DD
cdr,DD-MMM-YY
cdr,DD/MM/YYYY
cdr,DDMMYYYY
cdr,DDWWWYY
cdr,HH:MM
cdr,Julian
cdr,MM
cdr,MM-DD
cdr,MM/DD/YY
cdr,MM/DD/YYY
cdr,MM/DD/YYYY
cdr,MM:DD:YYYY
cdr,MMDD
cdr,MMDDYYYY
cdr,Month
cdr,WWW
cdr,YY
cdr,YYMMDD
cdr,YYYY
cdr,YYYY-MM-DD
cdr,YYYY/MM/DD
cdr,YYYYMMDD
cdr,dd-WWW-yy
cdr,dd/mm/YYYY
cdr,dd/mm/yyyy
cdr,dd/mmm
cdr,hh:mm
cdr,hh:mm:ss
cdr,hhmm
cdr,hmm
cdr,mm
cdr,mm/dd/YYY
cdr,mm/dd/YYYY
cdr,mm/dd/yyyy
cdr,yymmdd
cwt,D
cwt,DD
cwt,DD-WWW-YYYY
cwt,MM
cwt,W
cwt,YYYY
cwt,hh
cwt,hh:mm
cwt,mm
cwt,mm-dd-yyyy
cwt,mm/dd/yyyy
cwt,yyyy-mm-dd
fce,HH:MM
fce,YY
fce,YYY-MM-DD
fce,YYYY
fce,YYYY-MM
fce,YYYY-MM-DD
fce,YYYYMMDD
fce,Year
fce,hh:mm
fce,hh:mm:ss
fce,minute
gce,DD-WWW-YYYY
gce,MM/DD/YYYY
gce,YYYY-MM-DD
gce,hh:mm
gce,hh:mm:ss
hbr,DD
hbr,DDD
hbr,HH:MM
hbr,HH:MM:SS
hbr,HHMM
hbr,M
hbr,M/DD/YY
hbr,MM
hbr,MM-DD-YYYY
